sdy_id	tab_zip_path	has_expsample_public_repository	geo_linked_sample_count	has_study_link	study_link_targets	ready	reason
SDY1264	/private/tmp/claude-505/-Users-msadeck-Desktop-h2o-scratch/fac21ea9-fed3-4e14-8202-3ad14fb96f40/scratchpad/readiness_check_cache/SDY1264/SDY1264-DR58_Tab.zip	True	87	True	GEO -> https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13485	True	87 GEO-linked sample(s) in expsample_public_repository.txt
SDY1294	/private/tmp/claude-505/-Users-msadeck-Desktop-h2o-scratch/fac21ea9-fed3-4e14-8202-3ad14fb96f40/scratchpad/readiness_check_cache/SDY1294/SDY1294-DR58_Tab.zip	True	109	True	Publication -> http://www.jimmunol.org/content/199/4/1476.long; NCBI GEO -> https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82152	True	109 GEO-linked sample(s) in expsample_public_repository.txt
SDY1289	/private/tmp/claude-505/-Users-msadeck-Desktop-h2o-scratch/fac21ea9-fed3-4e14-8202-3ad14fb96f40/scratchpad/readiness_check_cache/SDY1289/SDY1289-DR58_Tab.zip	True	142	True	Publication -> http://jem.rupress.org/content/jem/205/13/3119.full.pdf?with-ds=yes; NCBI GEO -> https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13699	True	142 GEO-linked sample(s) in expsample_public_repository.txt
SDY1291	/private/tmp/claude-505/-Users-msadeck-Desktop-h2o-scratch/fac21ea9-fed3-4e14-8202-3ad14fb96f40/scratchpad/readiness_check_cache/SDY1291/SDY1291-DR58_Tab.zip	True	50	True	Publication -> http://www.pnas.org/content/109/50/E3503.long; Clinical Trial -> https://clinicaltrials.gov/show/NCT00486408?link_type=CLINTRIALGOV&access_num=NCT00486408; NCBI GEO -> https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22768	True	50 GEO-linked sample(s) in expsample_public_repository.txt
SDY1529	/private/tmp/claude-505/-Users-msadeck-Desktop-h2o-scratch/fac21ea9-fed3-4e14-8202-3ad14fb96f40/scratchpad/readiness_check_cache/SDY1529/SDY1529-DR58_Tab.zip	True	180	True	Gene Expression Omnibus -> GSE125921; Gene Expression Omnibus -> GSE136163	True	180 GEO-linked sample(s) in expsample_public_repository.txt
SDY15	/private/tmp/claude-505/-Users-msadeck-Desktop-h2o-scratch/fac21ea9-fed3-4e14-8202-3ad14fb96f40/scratchpad/readiness_check_cache/SDY15/SDY15-DR58_Tab.zip	False	0	True	ClinicalTrials.gov -> http://clinicaltrials.gov/ct2/show/study/NCT00723489	False	no expsample_public_repository.txt in Tab.zip
SDY271	/private/tmp/claude-505/-Users-msadeck-Desktop-h2o-scratch/fac21ea9-fed3-4e14-8202-3ad14fb96f40/scratchpad/readiness_check_cache/SDY271/SDY271-DR58_Tab.zip	False	0	True	Emory Vaccine Center -> http://www.vaccines.emory.edu/	False	no expsample_public_repository.txt in Tab.zip
