sdy_id	tab_zip_path	parsed_successfully	geo_linked_sample_count	has_study_link	study_link_targets	ready	reason
SDY63	/Users/msadeck/Desktop/h2o-scratch/runs/HYP002/data/immport_cache/SDY63/SDY63-DR58_Tab.zip	True	287	False		True	287 GEO-linked sample(s) in the parsed sample manifest
SDY400	/Users/msadeck/Desktop/h2o-scratch/runs/HYP002/data/immport_cache/SDY400/SDY400-DR58_Tab.zip	True	356	False		True	356 GEO-linked sample(s) in the parsed sample manifest
SDY224	/Users/msadeck/Desktop/h2o-scratch/runs/HYP002/data/immport_cache/SDY224/SDY224-DR58_Tab.zip	True	110	True	University of Rochester Center for Biodefense Immune Modeling -> https://cbim.urmc.rochester.edu/; Gene Expression Omnibus (GEO) -> http://www.ncbi.nlm.nih.gov/sra?term=SRX259436; Effect of influenza vaccination on PBMC and B cell gene expression profiles in healthy humans -> http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45764; IEDB -> https://www.iedb.org/reference/1024464	True	110 GEO-linked sample(s) in the parsed sample manifest
SDY2903	/Users/msadeck/Desktop/h2o-scratch/runs/HYP002/data/immport_cache/SDY2903/SDY2903-DR58_Tab.zip	True	24	True	GSE175524 -> https://bitbucket.org/kleinstein/projects/src/master/Wang2023_Aging	True	24 GEO-linked sample(s) in the parsed sample manifest
SDY404	/Users/msadeck/Desktop/h2o-scratch/runs/HYP002/data/immport_cache/SDY404/SDY404-DR58_Tab.zip	True	512	False		True	512 GEO-linked sample(s) in the parsed sample manifest
