gse_accession	gpl_accession	feature_id	gene	entrez_gene_id
GSE120717	GPL13158	1563725_PM_at	ZNF583	147949
GSE120717	GPL13158	1563728_PM_at	NCRNA00032	158035
GSE120717	GPL13158	1563742_PM_at	LOC643650	643650
GSE120717	GPL13158	1563743_PM_at	C1orf180	439927
GSE120717	GPL13158	1563744_PM_a_at	DISC1	27185
GSE120717	GPL13158	1563745_PM_a_at	LOC283050	283050
GSE120717	GPL13158	1563750_PM_at	FLJ43944	400593
GSE120717	GPL13158	1563753_PM_at	LOC149684	149684
GSE120717	GPL13158	1563754_PM_at	GRIK2	2898
GSE120717	GPL13158	1563770_PM_at	ZBTB8B	728116
GSE120717	GPL13158	1563772_PM_a_at	LAMA3	3909
GSE120717	GPL13158	1563781_PM_at	LOC285949	285949
GSE120717	GPL13158	1563783_PM_a_at	ZNF333	84449
GSE120717	GPL13158	1563787_PM_a_at	CAGE1	285782
GSE120717	GPL13158	1563793_PM_at	LOC100130278	100130278
GSE120717	GPL13158	1563794_PM_s_at	IFT122	55764
GSE120717	GPL13158	1563796_PM_s_at	EARS2	124454
GSE120717	GPL13158	1563800_PM_at	LOC283140	283140
GSE120717	GPL13158	1563802_PM_at	LOC284551	284551
GSE120717	GPL13158	1563805_PM_a_at	FAM83C	128876
GSE120717	GPL13158	1563808_PM_at	MCF2L	23263
GSE120717	GPL13158	1563809_PM_a_at	MCF2L	23263
GSE120717	GPL13158	1563814_PM_at	C2orf50	130813
GSE120717	GPL13158	1563816_PM_at	GAB4	128954
GSE120717	GPL13158	1563821_PM_at	LOC170425	170425
GSE120717	GPL13158	1563822_PM_at	LOC100131763	100131763
GSE120717	GPL13158	1563827_PM_at	LOC158434	158434
GSE120717	GPL13158	1563830_PM_a_at	FHAD1	114827
GSE120717	GPL13158	1563834_PM_a_at	AKNAD1	254268
GSE120717	GPL13158	1563839_PM_at	TBC1D7	51256
GSE120717	GPL13158	1563842_PM_at	PIGG	54872
GSE120717	GPL13158	1563845_PM_at	FAM153B	202134
GSE120717	GPL13158	1563849_PM_at	SH2D4B	387694
GSE120717	GPL13158	1563853_PM_at	LOC283045	283045
GSE120717	GPL13158	1563854_PM_s_at	LOC283045	283045
GSE120717	GPL13158	1563860_PM_at	LOC400965	400965
GSE120717	GPL13158	1563862_PM_at	TCEANC	170082
GSE120717	GPL13158	1563863_PM_x_at	TCEANC	170082
GSE120717	GPL13158	1563867_PM_at	LOC283194	283194
GSE120717	GPL13158	1563868_PM_a_at	C9orf79	286234
GSE120717	GPL13158	1563872_PM_at	LOC284395	284395
GSE120717	GPL13158	1563874_PM_at	WDR72	256764
GSE120717	GPL13158	1563876_PM_at	C1orf220	400798
GSE120717	GPL13158	1563878_PM_a_at	LOC338963	338963
GSE120717	GPL13158	1563882_PM_a_at	RAPGEF5	9771
GSE120717	GPL13158	1563887_PM_at	INTS4L1	285905
GSE120717	GPL13158	1563894_PM_at	LOC441178	441178
GSE120717	GPL13158	1563897_PM_at	CRABP1	1381
GSE120717	GPL13158	1563899_PM_at	LCTL	197021
GSE120717	GPL13158	1563900_PM_at	FAM83B	222584
GSE120717	GPL13158	1563904_PM_at	LOC100129620	100129620
GSE120717	GPL13158	1563906_PM_at	SOBP	55084
GSE120717	GPL13158	1563907_PM_at	GARNL3	84253
GSE120717	GPL13158	1563916_PM_at	LOC283089	283089
GSE120717	GPL13158	1563919_PM_a_at	CCDC123	84902
GSE120717	GPL13158	1563920_PM_at	FAM45A	404636
GSE120717	GPL13158	1563927_PM_a_at	LOC401463	401463
GSE120717	GPL13158	1563933_PM_a_at	PLD5	200150
GSE120717	GPL13158	1563943_PM_at	PPARGC1B	133522
GSE120717	GPL13158	1563945_PM_at	LOC284100	284100
GSE120717	GPL13158	1563947_PM_a_at	ERC1	23085
GSE120717	GPL13158	1563961_PM_at	FHAD1	114827
GSE120717	GPL13158	1563969_PM_at	FLJ33360	401172
GSE120717	GPL13158	1563970_PM_at	LOC100130998	100130998
GSE120717	GPL13158	1563975_PM_at	RNF130	55819
GSE120717	GPL13158	1563978_PM_at	LOC728690	728690
GSE120717	GPL13158	1563983_PM_at	LOC100190939	100190939
GSE120717	GPL13158	1563997_PM_at	TSGA14	95681
GSE120717	GPL13158	1564000_PM_at	ANKRD31	256006
GSE120717	GPL13158	1564002_PM_a_at	AKD1	221264
GSE120717	GPL13158	1564008_PM_at	COL27A1	85301
GSE120717	GPL13158	1564010_PM_at	CAST	831
GSE120717	GPL13158	1564012_PM_at	LOC100132354	100132354
GSE120717	GPL13158	1564015_PM_at	FAM38B	63895
GSE120717	GPL13158	1564017_PM_at	NCRNA00175	378832
GSE120717	GPL13158	1564021_PM_at	LOC100130456	100130456
GSE120717	GPL13158	1564022_PM_at	ZNF804B	219578
GSE120717	GPL13158	1564027_PM_a_at	FAM115C	285966
GSE120717	GPL13158	1564028_PM_s_at	FAM115C	285966
GSE120717	GPL13158	1564029_PM_at	USP49	25862
GSE120717	GPL13158	1564031_PM_a_at	RELL2	285613
GSE120717	GPL13158	1564039_PM_at	ZSCAN23	222696
GSE120717	GPL13158	1564040_PM_a_at	LOC283999	283999
GSE120717	GPL13158	1564044_PM_at	KNCN	148930
GSE120717	GPL13158	1564049_PM_at	LOC339593	339593
GSE120717	GPL13158	1564050_PM_at	LOC100131347	100131347
GSE120717	GPL13158	1564052_PM_at	TREML4	285852
GSE120717	GPL13158	1564053_PM_a_at	YTHDF3	253943
GSE120717	GPL13158	1564060_PM_at	LOC144742	144742
GSE120717	GPL13158	1564063_PM_a_at	ATP11B	23200
GSE120717	GPL13158	1564064_PM_a_at	ATP11B	23200
GSE120717	GPL13158	1564066_PM_at	TMEM151B	441151
GSE120717	GPL13158	1564067_PM_x_at	TMEM151B	441151
GSE120717	GPL13158	1564069_PM_at	NCRNA00213	100316868
GSE120717	GPL13158	1564070_PM_s_at	NCRNA00213	100316868
GSE120717	GPL13158	1564072_PM_at	MYH16	84176
GSE120717	GPL13158	1564075_PM_a_at	C17orf104	284071
GSE120717	GPL13158	1564084_PM_at	CAD	790
GSE120717	GPL13158	1564093_PM_at	NEK1	4750
GSE120717	GPL13158	1564109_PM_at	LOC284865	284865
GSE120717	GPL13158	1564112_PM_at	FAM71A	149647
GSE120717	GPL13158	1564117_PM_at	HMCN2	256158
GSE120717	GPL13158	1564122_PM_at	LOC283875	283875
GSE120717	GPL13158	1564125_PM_at	LOC285857	285857
GSE120717	GPL13158	1564138_PM_at	FBXW12	285231
GSE120717	GPL13158	1564139_PM_at	LOC144571	144571
GSE120717	GPL13158	1564150_PM_a_at	LOC256021	256021
GSE120717	GPL13158	1564152_PM_at	FLJ35816	401114
GSE120717	GPL13158	1564157_PM_at	FLJ33544	728283
GSE120717	GPL13158	1564158_PM_a_at	LOC100130894	100130894
GSE120717	GPL13158	1564160_PM_at	DTHD1	401124
GSE120717	GPL13158	1564164_PM_at	DENND1B	163486
GSE120717	GPL13158	1564165_PM_at	PRKRIP1	79706
GSE120717	GPL13158	1564166_PM_s_at	PRKRIP1	79706
GSE120717	GPL13158	1564168_PM_a_at	LOC93444	93444
GSE120717	GPL13158	1564178_PM_at	LOC283033	283033
GSE120717	GPL13158	1564190_PM_x_at	ZNF519	162655
GSE120717	GPL13158	1564193_PM_at	FLJ39061	165057
GSE120717	GPL13158	1564194_PM_a_at	MS4A15	219995
GSE120717	GPL13158	1564198_PM_a_at	C10orf90	118611
GSE120717	GPL13158	1564200_PM_at	LOC646324	646324
GSE120717	GPL13158	1564202_PM_at	LOC100131756	100131756
GSE120717	GPL13158	1564203_PM_at	LOC147004	147004
GSE120717	GPL13158	1564204_PM_at	FAM91A2	57234
GSE120717	GPL13158	1564207_PM_at	FLJ35390	255031
GSE120717	GPL13158	1564208_PM_x_at	FLJ35390	255031
GSE120717	GPL13158	1564209_PM_at	LOC282980	282980
GSE120717	GPL13158	1564211_PM_at	C14orf64	388011
GSE120717	GPL13158	1564212_PM_at	LOC100289084	100289084
GSE120717	GPL13158	1564224_PM_x_at	LOC283314	283314
GSE120717	GPL13158	1564229_PM_at	LOC729173	729173
GSE120717	GPL13158	1564231_PM_at	IFT80	57560
GSE120717	GPL13158	1564232_PM_at	LOC441528	441528
GSE120717	GPL13158	1564233_PM_at	FLJ33534	285150
GSE120717	GPL13158	1564235_PM_at	LOC729866	729866
GSE120717	GPL13158	1564238_PM_a_at	WDR49	151790
GSE120717	GPL13158	1564240_PM_at	LOC100130856	100130856
GSE120717	GPL13158	1564241_PM_at	ATP1A4	480
GSE120717	GPL13158	1564251_PM_at	EMID1	129080
GSE120717	GPL13158	1564253_PM_at	LOC285766	285766
GSE120717	GPL13158	1564254_PM_at	KY	339855
GSE120717	GPL13158	1564257_PM_at	LOC100132116	100132116
GSE120717	GPL13158	1564263_PM_at	LOC144817	144817
GSE120717	GPL13158	1564272_PM_a_at	KLHDC1	122773
GSE120717	GPL13158	1564274_PM_at	C9orf47	286223
GSE120717	GPL13158	1564276_PM_at	C5orf56	441108
GSE120717	GPL13158	1564277_PM_a_at	LOC100133920 /// LOC286297	100133920 /// 286297
GSE120717	GPL13158	1564280_PM_x_at	LOC100133920 /// LOC286297 /// MTHFD1L	100133920 /// 25902 /// 286297
GSE120717	GPL13158	1564281_PM_at	LOC285708	285708
GSE120717	GPL13158	1564282_PM_a_at	LOC285708	285708
GSE120717	GPL13158	1564285_PM_at	HFM1	164045
GSE120717	GPL13158	1564287_PM_at	LOC144776	144776
GSE120717	GPL13158	1564295_PM_at	FLJ25917	401585
GSE120717	GPL13158	1564299_PM_at	LOC100127940	100127940
GSE120717	GPL13158	1564300_PM_at	LOC100129058	100129058
GSE120717	GPL13158	1564301_PM_a_at	RPAIN	84268
GSE120717	GPL13158	1564307_PM_a_at	A2ML1	144568
GSE120717	GPL13158	1564308_PM_a_at	MPP7	143098
GSE120717	GPL13158	1564309_PM_at	LOC285045	285045
GSE120717	GPL13158	1564310_PM_a_at	PARP15	165631
GSE120717	GPL13158	1564314_PM_at	LOC219690	219690
GSE120717	GPL13158	1564315_PM_at	C8orf49	606553
GSE120717	GPL13158	1564319_PM_at	FAM71E2	284418
GSE120717	GPL13158	1564327_PM_at	FLJ32790	642696
GSE120717	GPL13158	1564331_PM_at	ZNF846	162993
GSE120717	GPL13158	1564333_PM_a_at	PSAPL1	768239
GSE120717	GPL13158	1564339_PM_a_at	CHRM3	1131
GSE120717	GPL13158	1564344_PM_at	ATP9B	374868
GSE120717	GPL13158	1564352_PM_at	CECR3	27442
GSE120717	GPL13158	1564356_PM_at	ZNF568	374900
GSE120717	GPL13158	1564357_PM_at	ABHD12B	145447
GSE120717	GPL13158	1564359_PM_a_at	LOC339260	339260
GSE120717	GPL13158	1564360_PM_a_at	LOC339260	339260
GSE120717	GPL13158	1564362_PM_x_at	ZNF843	283933
GSE120717	GPL13158	1564367_PM_at	NCRNA00236	392459
GSE120717	GPL13158	1564371_PM_a_at	CASC2	255082
GSE120717	GPL13158	1564372_PM_s_at	CASC2	255082
GSE120717	GPL13158	1564373_PM_a_at	LOC283887	283887
GSE120717	GPL13158	1564377_PM_at	SHANK2	22941
GSE120717	GPL13158	1564383_PM_s_at	FLJ35934	400579
GSE120717	GPL13158	1564385_PM_at	LOC219688	219688
GSE120717	GPL13158	1564386_PM_at	TXNDC8	255220
GSE120717	GPL13158	1564387_PM_at	DOPEY1	23033
GSE120717	GPL13158	1564392_PM_at	C21orf131	387486
GSE120717	GPL13158	1564399_PM_a_at	ARMCX4	100131755
GSE120717	GPL13158	1564400_PM_at	C18orf62	284274
GSE120717	GPL13158	1564401_PM_at	LOC400748	400748
GSE120717	GPL13158	1564402_PM_at	LOC146795	146795
GSE120717	GPL13158	1564403_PM_at	LOC100129250	100129250
GSE120717	GPL13158	1564413_PM_at	FLJ36116	388666
GSE120717	GPL13158	1564414_PM_a_at	PNLDC1	154197
GSE120717	GPL13158	1564423_PM_a_at	SEC16B	89866
GSE120717	GPL13158	1564426_PM_x_at	LOC389634	389634
GSE120717	GPL13158	1564431_PM_a_at	LCNL1	401562
GSE120717	GPL13158	1564435_PM_a_at	KRT72	140807
GSE120717	GPL13158	1564439_PM_a_at	C11orf36	283303
GSE120717	GPL13158	1564443_PM_at	DLEU2	8847
GSE120717	GPL13158	1564444_PM_at	LOC100130264	100130264
GSE120717	GPL13158	1564446_PM_at	LOC284930	284930
GSE120717	GPL13158	1564449_PM_at	LOC100130353	100130353
GSE120717	GPL13158	1564459_PM_at	LOC100129427	100129427
GSE120717	GPL13158	1564460_PM_at	LOC286442	286442
GSE120717	GPL13158	1564463_PM_at	LOC283711	283711
GSE120717	GPL13158	1564466_PM_at	LOC727973	727973
GSE120717	GPL13158	1564467_PM_at	FAM161A	84140
GSE120717	GPL13158	1564469_PM_at	LMOD3	56203
GSE120717	GPL13158	1564471_PM_at	LOC100130815	100130815
GSE120717	GPL13158	1564472_PM_at	LOC100132080	100132080
GSE120717	GPL13158	1564473_PM_at	ESCO2	157570
GSE120717	GPL13158	1564474_PM_at	LOC728723	728723
GSE120717	GPL13158	1564475_PM_s_at	LOC728723	728723
GSE120717	GPL13158	1564482_PM_at	ATP5O	539
GSE120717	GPL13158	1564485_PM_at	LOC100131551	100131551
GSE120717	GPL13158	1564490_PM_at	LOC100128830	100128830
GSE120717	GPL13158	1564491_PM_at	CXorf18	619455
GSE120717	GPL13158	1564494_PM_s_at	P4HB	5034
GSE120717	GPL13158	1564499_PM_at	C14orf81	153514
GSE120717	GPL13158	1564504_PM_at	ACCN5	51802
GSE120717	GPL13158	1564511_PM_a_at	FSTL4	23105
GSE120717	GPL13158	1564514_PM_at	SNRK	54861
GSE120717	GPL13158	1564520_PM_s_at	PRMT5	10419
GSE120717	GPL13158	1564521_PM_x_at	PRMT5	10419
GSE120717	GPL13158	1564533_PM_at	LOC732096	732096
GSE120717	GPL13158	1564536_PM_at	ASB10	136371
GSE120717	GPL13158	1564537_PM_a_at	ASB10	136371
GSE120717	GPL13158	1564539_PM_at	LOC647323	647323
GSE120717	GPL13158	1564548_PM_at	LOC642620	642620
GSE120717	GPL13158	1564559_PM_at	LOC728073	728073
GSE120717	GPL13158	1564573_PM_at	LOC402778	402778
GSE120717	GPL13158	1564590_PM_a_at	OFCC1	266553
GSE120717	GPL13158	1564591_PM_a_at	TMC1	117531
GSE120717	GPL13158	1564598_PM_a_at	VWA3B	200403
GSE120717	GPL13158	1564600_PM_a_at	CCDC36	339834
GSE120717	GPL13158	1564601_PM_at	LOC286123	286123
GSE120717	GPL13158	1564603_PM_at	C15orf55	256646
GSE120717	GPL13158	1564621_PM_a_at	MEI1	150365
GSE120717	GPL13158	1564627_PM_at	DNAJC13	23317
GSE120717	GPL13158	1564630_PM_at	EDN1	1906
GSE120717	GPL13158	1564635_PM_a_at	FHAD1	114827
GSE120717	GPL13158	1564637_PM_a_at	FAM98B	283742
GSE120717	GPL13158	1564639_PM_at	LOC389906	389906
GSE120717	GPL13158	1564640_PM_at	MGA	23269
GSE120717	GPL13158	1564642_PM_at	RUNX1T1	862
GSE120717	GPL13158	1564651_PM_at	LOC221710	221710
GSE120717	GPL13158	1564653_PM_s_at	LEKR1	389170
GSE120717	GPL13158	1564658_PM_at	C7orf52	375607
GSE120717	GPL13158	1564660_PM_at	LOC100131864	100131864
GSE120717	GPL13158	1564662_PM_at	ZNF852	285346
GSE120717	GPL13158	1564670_PM_at	LOC100190938	100190938
GSE120717	GPL13158	1564674_PM_a_at	CDC20B	166979
GSE120717	GPL13158	1564679_PM_at	ASB15	142685
GSE120717	GPL13158	1564683_PM_at	LOC283868	283868
GSE120717	GPL13158	1564684_PM_at	BTN2A2	10385
GSE120717	GPL13158	1564688_PM_a_at	RAD9B	144715
GSE120717	GPL13158	1564691_PM_at	LOC100128594	100128594
GSE120717	GPL13158	1564697_PM_a_at	LOC400752	400752
GSE120717	GPL13158	1564705_PM_at	GLS2	27165
GSE120717	GPL13158	1564706_PM_s_at	GLS2	27165
GSE120717	GPL13158	1564707_PM_x_at	GLS2	27165
GSE120717	GPL13158	1564709_PM_at	LOC286238	286238
GSE120717	GPL13158	1564713_PM_a_at	FOXN4	121643
GSE120717	GPL13158	1564736_PM_a_at	CASP12	120329
GSE120717	GPL13158	1564746_PM_at	NHEDC2	133308
GSE120717	GPL13158	1564749_PM_at	LOC100289045	100289045
GSE120717	GPL13158	1564757_PM_a_at	CCDC148	130940
GSE120717	GPL13158	1564758_PM_at	LOC643659	643659
GSE120717	GPL13158	1564777_PM_at	HYALP1	26062
GSE120717	GPL13158	1564783_PM_x_at	OFCC1	266553
GSE120717	GPL13158	1564785_PM_at	C14orf183	196913
GSE120717	GPL13158	1564786_PM_at	LOC338667	338667
GSE120717	GPL13158	1564787_PM_at	LOC643923	643923
GSE120717	GPL13158	1564790_PM_at	ST7OT2	93654
GSE120717	GPL13158	1564796_PM_at	EMP1	2012
GSE120717	GPL13158	1564803_PM_at	KRTAP11-1	337880
GSE120717	GPL13158	1564805_PM_a_at	OFCC1	266553
GSE120717	GPL13158	1564807_PM_at	LOC100288320	100288320
GSE120717	GPL13158	1564816_PM_at	C14orf178	283579
GSE120717	GPL13158	1564823_PM_at	CDC42BPG	55561
GSE120717	GPL13158	1564828_PM_at	KIAA1211	57482
GSE120717	GPL13158	1564837_PM_at	LOC151760	151760
GSE120717	GPL13158	1564838_PM_a_at	LOC151760	151760
GSE120717	GPL13158	1564855_PM_at	LOC100287507 /// LOC727924	100287507 /// 727924
GSE120717	GPL13158	1564856_PM_s_at	LOC727924	727924
GSE120717	GPL13158	1564868_PM_a_at	FAM117B	150864
GSE120717	GPL13158	1564876_PM_s_at	FOXP2	93986
GSE120717	GPL13158	1564881_PM_at	LOC152578	152578
GSE120717	GPL13158	1564883_PM_a_at	TAS1R1	80835
GSE120717	GPL13158	1564897_PM_at	TNR	7143
GSE120717	GPL13158	1564906_PM_at	SNHG4	724102
GSE120717	GPL13158	1564907_PM_s_at	MATR3 /// SNHG4	724102 /// 9782
GSE120717	GPL13158	1564911_PM_at	SNHG4	724102
GSE120717	GPL13158	1564921_PM_at	KRTAP13-1	140258
GSE120717	GPL13158	1564945_PM_at	TBX20	57057
GSE120717	GPL13158	1564960_PM_at	KRTAP7-1	337878
GSE120717	GPL13158	1564962_PM_at	ZNF92	168374
GSE120717	GPL13158	1564963_PM_x_at	ZNF92	168374
GSE120717	GPL13158	1564970_PM_at	SETDB2	83852
GSE120717	GPL13158	1564972_PM_x_at	SETDB2	83852
GSE120717	GPL13158	1564974_PM_at	KRTAP8-1	337879
GSE120717	GPL13158	1564985_PM_a_at	SLC8A1	6546
GSE120717	GPL13158	1565000_PM_a_at	TCP11L2	255394
GSE120717	GPL13158	1565016_PM_at	PRMT1	3276
GSE120717	GPL13158	1565026_PM_a_at	OFCC1	266553
GSE120717	GPL13158	1565027_PM_at	OFCC1	266553
GSE120717	GPL13158	1565034_PM_s_at	AFF3 /// MLL	3899 /// 4297
GSE120717	GPL13158	1565065_PM_at	OFCC1	266553
GSE120717	GPL13158	1565080_PM_at	SRC	6714
GSE120717	GPL13158	1565082_PM_x_at	SRC	6714
GSE120717	GPL13158	1565111_PM_x_at	OFCC1	266553
GSE120717	GPL13158	1565130_PM_at	MAP3K2	10746
GSE120717	GPL13158	1565131_PM_x_at	MAP3K2	10746
GSE120717	GPL13158	1565132_PM_at	RBMY3AP	64593
GSE120717	GPL13158	1565149_PM_at	DYNC2H1	79659
GSE120717	GPL13158	1565162_PM_s_at	MGST1	4257
GSE120717	GPL13158	1565228_PM_s_at	ALB	213
GSE120717	GPL13158	1565242_PM_at	TNXB	7148
GSE120717	GPL13158	1565254_PM_s_at	ELL	8178
GSE120717	GPL13158	1565269_PM_s_at	ATF1	466
GSE120717	GPL13158	1565306_PM_a_at	SLC8A1	6546
GSE120717	GPL13158	1565320_PM_at	RBMY3AP	64593
GSE120717	GPL13158	1565325_PM_at	SNHG4	724102
GSE120717	GPL13158	1565329_PM_at	POLE4	56655
GSE120717	GPL13158	1565337_PM_at	DNAH6	1768
GSE120717	GPL13158	1565338_PM_x_at	DNAH6	1768
GSE120717	GPL13158	1565339_PM_at	DNAH10	196385
GSE120717	GPL13158	1565346_PM_a_at	ATP1A4	480
GSE120717	GPL13158	1565347_PM_s_at	TFE3	7030
GSE120717	GPL13158	1565358_PM_at	RARA	5914
GSE120717	GPL13158	1565389_PM_s_at	GRM5	2915
GSE120717	GPL13158	1565406_PM_a_at	LHX9	56956
GSE120717	GPL13158	1565407_PM_at	LHX9	56956
GSE120717	GPL13158	1565424_PM_at	C8orf8	83647
GSE120717	GPL13158	1565436_PM_s_at	MLL	4297
GSE120717	GPL13158	1565446_PM_at	HPRT1	3251
GSE120717	GPL13158	1565454_PM_at	XAGE-4	139629
GSE120717	GPL13158	1565483_PM_at	EGFR	1956
GSE120717	GPL13158	1565484_PM_x_at	EGFR	1956
GSE120717	GPL13158	1565495_PM_at	IGLV1-44	28823
GSE120717	GPL13158	1565525_PM_a_at	TCP11L2	255394
GSE120717	GPL13158	1565527_PM_x_at	TCP11L2	255394
GSE120717	GPL13158	1565537_PM_at	NKX1-1	54729
GSE120717	GPL13158	1565544_PM_at	RNF141	50862
GSE120717	GPL13158	1565546_PM_at	RNF141	50862
GSE120717	GPL13158	1565554_PM_at	LOC127841	127841
GSE120717	GPL13158	1565556_PM_at	LOC127841	127841
GSE120717	GPL13158	1565559_PM_at	MAGIX	79917
GSE120717	GPL13158	1565562_PM_at	MAGIX	79917
GSE120717	GPL13158	1565580_PM_s_at	TATDN2	9797
GSE120717	GPL13158	1565583_PM_at	LOC100291336	100291336
GSE120717	GPL13158	1565603_PM_at	PWP2	5822
GSE120717	GPL13158	1565604_PM_at	PWP2	5822
GSE120717	GPL13158	1565612_PM_at	LOC100287479	100287479
GSE120717	GPL13158	1565618_PM_at	KIAA1671 /// LOC100289134	100289134 /// 85379
GSE120717	GPL13158	1565620_PM_at	AGAP4	119016
GSE120717	GPL13158	1565641_PM_at	C16orf45	89927
GSE120717	GPL13158	1565644_PM_at	LOC100289632	100289632
GSE120717	GPL13158	1565651_PM_at	ARF1	375
GSE120717	GPL13158	1565653_PM_at	HEATR7A	727957
GSE120717	GPL13158	1565657_PM_at	CMTM6	54918
GSE120717	GPL13158	1565659_PM_at	LOC100288400	100288400
GSE120717	GPL13158	1565660_PM_at	FUT6	2528
GSE120717	GPL13158	1565661_PM_x_at	FUT6	2528
GSE120717	GPL13158	1565666_PM_s_at	LOC100133761 /// MUC6	100133761 /// 4588
GSE120717	GPL13158	1565668_PM_at	TUBA1B	10376
GSE120717	GPL13158	1565669_PM_at	LOC100289071	100289071
GSE120717	GPL13158	1565672_PM_at	LOC100287911	100287911
GSE120717	GPL13158	1565673_PM_at	FCGR2A	2212
GSE120717	GPL13158	1565674_PM_at	FCGR2A /// FCGR2C	2212 /// 9103
GSE120717	GPL13158	1565680_PM_at	DIP2C	22982
GSE120717	GPL13158	1565681_PM_s_at	DIP2C	22982
GSE120717	GPL13158	1565684_PM_at	LOC400940	400940
GSE120717	GPL13158	1565685_PM_at	LOC400940	400940
GSE120717	GPL13158	1565693_PM_at	DTYMK	1841
GSE120717	GPL13158	1565694_PM_at	DTYMK	1841
GSE120717	GPL13158	1565698_PM_at	HECTD2	143279
GSE120717	GPL13158	1565699_PM_at	HECTD2	143279
GSE120717	GPL13158	1565702_PM_at	SMAD4	4089
GSE120717	GPL13158	1565703_PM_at	SMAD4	4089
GSE120717	GPL13158	1565715_PM_at	FUS	2521
GSE120717	GPL13158	1565716_PM_at	FUS	2521
GSE120717	GPL13158	1565717_PM_s_at	FUS	2521
GSE120717	GPL13158	1565723_PM_at	LOC100128281	100128281
GSE120717	GPL13158	1565728_PM_at	LOC284630	284630
GSE120717	GPL13158	1565730_PM_at	LOC100288224	100288224
GSE120717	GPL13158	1565731_PM_at	ALDH3B1	221
GSE120717	GPL13158	1565737_PM_at	SCTR	6344
GSE120717	GPL13158	1565738_PM_at	SCTR	6344
GSE120717	GPL13158	1565746_PM_at	LOC100132815	100132815
GSE120717	GPL13158	1565748_PM_at	LOC100132815	100132815
GSE120717	GPL13158	1565751_PM_at	FGD2	221472
GSE120717	GPL13158	1565752_PM_at	FGD2	221472
GSE120717	GPL13158	1565754_PM_x_at	FGD2	221472
GSE120717	GPL13158	1565755_PM_at	MAP1D	254042
GSE120717	GPL13158	1565756_PM_a_at	MAP1D	254042
GSE120717	GPL13158	1565758_PM_at	RPL13	6137
GSE120717	GPL13158	1565759_PM_at	RPL13	6137
GSE120717	GPL13158	1565763_PM_at	C13orf33	84935
GSE120717	GPL13158	1565765_PM_x_at	C13orf33	84935
GSE120717	GPL13158	1565771_PM_at	DKFZp434E1119	283218
GSE120717	GPL13158	1565772_PM_at	PAK1	5058
GSE120717	GPL13158	1565774_PM_at	FAM38B	63895
GSE120717	GPL13158	1565775_PM_at	FAM38B	63895
GSE120717	GPL13158	1565778_PM_at	ABCA8	10351
GSE120717	GPL13158	1565780_PM_at	ABCA8	10351
GSE120717	GPL13158	1565783_PM_at	TNK2	10188
GSE120717	GPL13158	1565784_PM_at	LOC100128262	100128262
GSE120717	GPL13158	1565786_PM_x_at	FLJ45482	645566
GSE120717	GPL13158	1565795_PM_at	DUOX1	53905
GSE120717	GPL13158	1565797_PM_at	DUOX1	53905
GSE120717	GPL13158	1565799_PM_at	RAB3IP	117177
GSE120717	GPL13158	1565800_PM_x_at	RAB3IP	117177
GSE120717	GPL13158	1565806_PM_at	FLJ37035	399821
GSE120717	GPL13158	1565812_PM_at	TRIM36	55521
GSE120717	GPL13158	1565814_PM_at	TRIM36	55521
GSE120717	GPL13158	1565816_PM_at	IKZF1	10320
GSE120717	GPL13158	1565817_PM_at	IKZF1	10320
GSE120717	GPL13158	1565818_PM_s_at	IKZF1	10320
GSE120717	GPL13158	1565823_PM_at	SEPT7	989
GSE120717	GPL13158	1565829_PM_at	KIAA1731	85459
GSE120717	GPL13158	1565832_PM_at	KANK1	23189
GSE120717	GPL13158	1565843_PM_s_at	BRPF3	27154
GSE120717	GPL13158	1565844_PM_at	BRPF3	27154
GSE120717	GPL13158	1565848_PM_at	ZNF428	126299
GSE120717	GPL13158	1565849_PM_a_at	SRRM5	100170229
GSE120717	GPL13158	1565858_PM_at	SNORA71A	26777
GSE120717	GPL13158	1565859_PM_at	SNORA71A	26777
GSE120717	GPL13158	1565867_PM_a_at	ZBED6 /// ZC3H11A	100381270 /// 9877
GSE120717	GPL13158	1565868_PM_at	CD44	960
GSE120717	GPL13158	1565898_PM_at	METT5D1	196074
GSE120717	GPL13158	1565900_PM_at	METT5D1	196074
GSE120717	GPL13158	1565903_PM_at	FLJ46026	400627
GSE120717	GPL13158	1565905_PM_at	FLJ46026	400627
GSE120717	GPL13158	1565906_PM_at	NADSYN1	55191
GSE120717	GPL13158	1565908_PM_at	NADSYN1	55191
GSE120717	GPL13158	1565910_PM_at	FSTL4	23105
GSE120717	GPL13158	1565925_PM_at	SLC17A4	10050
GSE120717	GPL13158	1565935_PM_at	C4orf21	55345
GSE120717	GPL13158	1565936_PM_a_at	LMO3	55885
GSE120717	GPL13158	1565937_PM_a_at	LMO3	55885
GSE120717	GPL13158	1565939_PM_at	C5orf22	55322
GSE120717	GPL13158	1565947_PM_a_at	CHML	1122
GSE120717	GPL13158	1565949_PM_x_at	CHML	1122
GSE120717	GPL13158	1565951_PM_s_at	CHML	1122
GSE120717	GPL13158	1565998_PM_at	LOC286299	286299
GSE120717	GPL13158	1565999_PM_at	LOC286299	286299
GSE120717	GPL13158	1566037_PM_at	LOC729314	729314
GSE120717	GPL13158	1566038_PM_at	DGCR7	266621
GSE120717	GPL13158	1566040_PM_at	LOC100288656	100288656
