repository	dataset_accession	relative_path	file_name	size_bytes	manifest_recorded	artifact_type	fetch_status	source	sha256	candidate_type	parser_support	suggested_parser	classification_reason
ImmPort	SDY1294	SDY1294/SDY1294-DR58_manifest.txt	SDY1294-DR58_manifest.txt	1222	true	release_file	success	SDY1294/SDY1294-DR58_manifest.txt	48c4e10c157e8f5be5f2cba8a97862037552561395648fbd473738dc439c6311	tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1294	SDY1294/SDY1294-DR58_summary.txt	SDY1294-DR58_summary.txt	30	true	release_file	success	SDY1294/SDY1294-DR58_summary.txt	9994c663ad241e8af13d1e6419320efdfbe2a5533a2ab0b99240c89d808a21ee	tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1294	SDY1294/SDY1294-DR58_table_count.txt	SDY1294-DR58_table_count.txt	2158	true	release_file	success	SDY1294/SDY1294-DR58_table_count.txt	c303fb89b92c37f483231ef0fee6b071a8a8223b5465c6d68b0869d2116b3b20	tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1294	SDY1294/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1294.txt	StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1294.txt	2391	true	study_file	success	SDY1294/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1294.txt	36c09ded86b0ddce28256814cdea11e8bc7afa83f7bf0a498e6abddc8581b701	tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab.zip	SDY1529-DR58_Tab.zip	512940	true	release_file	cached	SDY1529/SDY1529-DR58_Tab.zip	044fdb3a1977139aca6d60abf4571e245eda7df605695ad6bb777ca92a2e9d38	immport_tab_archive	supported	immport_parse_module	ImmPort Tab archives are supported sample-link parser inputs.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/arm_2_subject.txt	arm_2_subject.txt	2454	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/arm_or_cohort.txt	arm_or_cohort.txt	249	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/biosample.txt	biosample.txt	18648	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/contract_grant.txt	contract_grant.txt	423	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/contract_grant_2_personnel.txt	contract_grant_2_personnel.txt	52	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
